source,target,weight
wiranataasworodarsana,bitorexpost,1
wongtamin,cerah_indonesiaku,1
wuri20984,webekspor,1
wwenehh,luarbioskop,1
xlemanzupx,bloombergtechnoz,1
xyztarlight,investordailyid,1
y_______e_______n________i,infobanyuwangi,1
yandijoee,sindonews,1
yanditarigann,bloombergtechnoz,1
_dewisri.dsy,luarbioskop,1
yantok7735,sindonews,1
yaqeenmnoor,sindonews,1
yatty70,akademi.antikorupsi,1
yayatsuprianto,kompascom,1
yeddymulyadi,luarbioskop,1
yepeeaja,koranbaliexpress,1
ylndsj,sindonews,1
ymanda_sari,feedcollective.co,1
yogiaryo439,kompascom,1
yogie_basri,sagoetv,1
yogiijepee,jabodetabek24info,1
yogsjourney_,bloombergtechnoz,1
yosia14,radiopatria,1
yudhie_1984,koranbaliexpress,1
yudiantodody,radiopatria,1
abchopq,luarbioskop,1
yuhankurniawan,kapitalismarket,1
_mon97,luarbioskop,1
yurikaputri067,investordailyid,1
yusoktavia09,official_nasdem,1
yytri89,tribunnews,1
zain_abdul26,murianewscom,1
zakyrivano,komnas.ham,1
zaskia.salsabila.733,manofourtimeid,1
zerosixnineeight,radiopatria,1
zhyezhaa,astrobike.katalog,1
zifauzizuaf__,growminingcorpindonesia,1
zigyzikraa,lifeatgenb,1
zikrisaputtraa,cekberitanya,1
zildran27,koranbaliexpress,1
_galuh666,jabarekspres,1
